Entity,Code,Year,Transport emissions per capita (tCO2),Population density,Continent
Abkhazia,OWID_ABK,2015,,,Asia
Accra,,2016,0.35,14597,
Afghanistan,AFG,2015,,,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia
Albania,ALB,2015,,,Europe
Algeria,DZA,2015,,,Africa
American Samoa,ASM,2015,,,Oceania
Amman,,2016,0.67,4240,
Amsterdam,,2016,1.37,4991,
Andorra,AND,2015,,,Europe
Angola,AGO,2015,,,Africa
Anguilla,AIA,2015,,,North America
Antarctica,ATA,2015,,,Antarctica
Antigua and Barbuda,ATG,2015,,,North America
Argentina,ARG,2015,,,South America
Armenia,ARM,2015,,,Asia
Aruba,ABW,2015,,,North America
Athens,,2016,1.58,17027,
Auckland,,2016,2.62,322,
Austin,,2016,4.1,468,
Australia,AUS,2015,,,Oceania
Austria,AUT,2015,,,Europe
Austria-Hungary,OWID_AUH,2015,,,Europe
Azerbaijan,AZE,2015,,,Asia
Baden,OWID_BAD,2015,,,Europe
Bahamas,BHS,2015,,,North America
Bahrain,BHR,2015,,,Asia
Bangkok,,2016,2.95,5428,
Bangladesh,BGD,2015,,,Asia
Barbados,BRB,2015,,,North America
Barcelona,,2016,0.64,15708,
Basel,,2016,0.86,5306,
Bavaria,OWID_BAV,2015,,,Europe
Belarus,BLR,2015,,,Europe
Belgium,BEL,2015,,,Europe
Belize,BLZ,2015,,,North America
Benin,BEN,2015,,,Africa
Bermuda,BMU,2015,,,North America
Bhutan,BTN,2015,,,Asia
Bolivia,BOL,2015,,,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,North America
Bosnia and Herzegovina,BIH,2015,,,Europe
Boston,,2016,2.35,5356,
Botswana,BWA,2015,,,Africa
Bouvet Island,BVT,2015,,,Antarctica
Brazil,BRA,2015,,,South America
British Indian Ocean Territory,IOT,2015,,,Asia
British Virgin Islands,VGB,2015,,,North America
Brunei,BRN,2015,,,Asia
Buenos Aires,,2016,1.21,15117,
Bulgaria,BGR,2015,,,Europe
Burkina Faso,BFA,2015,,,Africa
Burundi,BDI,2015,,,Africa
Cambodia,KHM,2015,,,Asia
